country,items,blogs,facebook,news,policies,twitter,wikipedia,blogs_weighted,facebook_weighted,news_weighted,policies_weighted,twitter_weighted,wikipedia_weighted
SN,1144,42,117,35,34,492,17,35,93,27,28,399,14
SO,19,0,3,1,0,14,0,0,3,1,0,11,0
SR,74,2,10,5,1,34,1,2,7,5,1,28,1
SS,12,0,0,0,1,10,0,0,0,0,1,5,0
ST,4,1,3,2,0,4,0,1,2,1,0,2,0
SV,71,6,14,7,3,43,4,5,11,7,3,33,4
SX,3,0,2,1,0,2,0,0,1,1,0,2,0
SY,951,13,51,11,14,192,10,12,43,8,11,163,10
SZ,86,6,10,4,2,49,4,6,6,3,1,37,4
TC,3,0,2,0,0,3,0,0,1,0,0,2,0
TD,40,3,2,3,0,23,1,3,2,3,0,17,1
TG,190,4,22,3,4,71,7,4,17,2,3,55,5
TH,33637,586,2364,600,482,9212,427,497,2106,514,427,8290,384
TJ,171,2,5,2,1,27,2,2,3,1,1,21,2
TL,17,2,2,0,1,6,0,2,1,0,1,5,0
TM,32,0,2,0,0,0,0,0,1,0,0,0,0
TN,20018,138,707,161,54,3404,116,116,631,139,51,3025,102
TO,7,0,1,0,3,4,0,0,1,0,3,3,0
TR,140169,1027,5755,1094,589,26901,547,980,5620,1044,574,26144,525
TT,675,17,50,13,12,223,6,16,48,12,9,210,6
TW,141896,2006,8191,2508,681,36548,886,1873,7901,2389,659,35429,851
TZ,2207,126,380,122,97,1492,38,92,300,84,74,1173,27
UA,18805,189,514,108,12,3097,153,156,468,91,10,2714,140
UG,2576,187,454,175,144,1844,49,142,363,130,115,1530,41
US,1955472,158550,300754,175918,43227,1045534,49979,153245,291187,170291,42182,1010283,48209
UY,3519,98,317,98,31,1374,77,88,287,89,30,1271,73
UZ,1144,8,30,3,9,226,4,6,24,3,8,181,4
VA,18,4,9,6,0,19,2,2,6,3,0,12,2
VC,7,0,0,0,0,3,0,0,0,0,0,3,0
VE,2505,59,196,53,12,878,48,44,168,43,10,755,42
VN,10859,254,636,167,111,2760,97,190,496,120,82,2125,73
VU,42,7,6,1,3,14,2,6,5,1,2,12,2
WS,16,1,3,0,3,9,0,1,3,0,3,7,0
YE,505,17,45,6,8,166,5,12,36,4,7,122,4
ZA,49827,3078,5807,1916,918,20711,996,2701,5085,1622,793,18468,869
ZM,658,42,111,36,44,491,11,31,78,24,32,365,9
ZW,1199,60,135,57,48,578,12,50,108,44,38,460,8

