country,classification,type,items,blogs,facebook,news,policies,twitter,wikipedia
JO,Mathematics and computer science,closed,735,1,4,1,0,44,2
KP,Mathematics and computer science,closed,54,0,1,0,0,4,0
LB,Mathematics and computer science,closed,439,0,4,0,0,20,0
MM,Mathematics and computer science,closed,6,0,0,0,0,0,0
NA,Mathematics and computer science,closed,4,0,0,0,0,1,0
NI,Mathematics and computer science,closed,1,0,0,0,0,0,0
NL,Mathematics and computer science,closed,3564,25,99,32,48,556,27
NO,Mathematics and computer science,closed,1440,9,33,9,8,189,10
PE,Mathematics and computer science,closed,74,0,1,0,1,7,0
QA,Mathematics and computer science,closed,456,4,4,2,2,42,1
RO,Mathematics and computer science,closed,1912,2,15,1,1,83,4
RU,Mathematics and computer science,closed,10058,16,41,30,1,290,17
SD,Mathematics and computer science,closed,37,0,0,0,0,1,0
SK,Mathematics and computer science,closed,598,1,8,0,0,29,2
TJ,Mathematics and computer science,closed,14,0,0,0,0,0,0
US,Mathematics and computer science,closed,56028,520,1148,590,274,6066,410
AN,Physical sciences and engineering,closed,3,0,0,0,0,2,0
AU,Physical sciences and engineering,closed,32081,467,1681,645,182,6555,298
BD,Physical sciences and engineering,closed,1875,8,53,11,7,192,4
BJ,Physical sciences and engineering,closed,71,0,4,0,1,8,1
BS,Physical sciences and engineering,closed,2,0,0,0,0,0,0
BY,Physical sciences and engineering,closed,2212,2,17,10,1,95,5
CA,Physical sciences and engineering,closed,43956,613,1560,701,128,9222,296
CY,Physical sciences and engineering,closed,736,1,15,6,5,105,3
CZ,Physical sciences and engineering,closed,12922,70,358,91,14,2068,61
DZ,Mathematics and computer science,closed,2300,0,40,3,1,80,1
EC,Mathematics and computer science,closed,122,0,2,1,0,14,0
ES,Mathematics and computer science,closed,13695,42,186,83,25,1554,58
ET,Mathematics and computer science,closed,56,0,0,0,0,5,0
