type,timediff,n_items
open,-375,1
closed,-225,1
open,364,126
closed,-168,2
open,167,135
closed,334,50
open,224,258
closed,237,118
closed,277,69
open,281,215
open,-107,23
open,-164,5
open,592,4
open,-33,122
open,255,178
open,98,549
open,-90,46
closed,403,51
open,409,53
open,566,28
open,-230,4
open,-133,18
open,426,43
open,-373,2
open,523,23
open,383,92
open,89,400
open,-299,3
closed,218,145
closed,-543,1
closed,-75,86
closed,201,58
closed,595,5
closed,-118,4
closed,244,87
open,314,148
open,568,63
closed,70,357
open,-408,2
closed,521,8
closed,267,66
closed,621,1
closed,210,104
closed,367,25
open,-548,1
open,-97,26
open,582,99
open,425,78
closed,350,27
open,-434,4
open,482,32
open,442,147
open,-23,159
closed,-167,1
open,-80,27
closed,-267,1
open,399,53
open,-66,43
closed,376,35
open,-49,140
closed,476,17
closed,319,70
open,259,209
closed,419,41
open,316,103
closed,8,2811
closed,-490,1
closed,108,185
closed,462,20
closed,51,584
open,-175,76
open,-332,1
closed,-476,1
closed,-8,275
open,190,152
open,347,88
closed,-108,4
closed,585,11
open,601,5
open,50,1032
open,-275,1
closed,177,147
closed,-91,12
closed,217,85
open,-258,3
open,24,2748
open,181,142
closed,103,176
closed,-117,5
closed,203,186
open,-130,7
closed,343,55
open,392,147
open,-384,1
closed,286,115
open,55,907
open,309,125
closed,329,57
open,406,62
closed,75,206
open,-99,18
closed,-89,11
closed,18,1878
open,423,47
open,266,172
closed,58,416
open,-239,4
closed,1,14927
closed,452,22
closed,158,185
open,-199,1
closed,101,133
open,183,227
open,340,127
closed,495,13
open,397,51
closed,44,669
open,200,231
closed,-115,3
closed,-98,9
open,297,160
closed,-198,1
closed,127,98

