year,indicator,counts,n_items
2014,facebook,97,2
2012,facebook,98,1
2014,facebook,98,3
2015,facebook,100,3
2017,facebook,100,2
2012,facebook,101,3
2015,facebook,101,2
2013,facebook,102,3
2015,facebook,102,2
2017,facebook,105,1
2017,facebook,106,1
2015,facebook,107,1
2015,facebook,108,1
2013,facebook,109,3
2016,facebook,112,1
2014,facebook,115,3
2015,facebook,116,1
2012,facebook,118,1
2013,facebook,118,2
2014,facebook,122,2
2017,facebook,123,2
2015,facebook,125,3
2014,facebook,130,1
2012,facebook,132,1
2014,facebook,132,3
2014,facebook,138,2
2017,facebook,140,1
2014,facebook,146,4
2015,facebook,149,1
2017,facebook,149,1
2015,facebook,150,1
2016,facebook,153,1
2014,facebook,156,1
2014,facebook,157,2
2012,facebook,158,2
2012,facebook,160,1
2015,facebook,161,1
2013,facebook,163,1
2012,facebook,166,2
2012,facebook,173,1
2015,facebook,177,1
2012,facebook,184,3
2015,facebook,192,2
2012,facebook,200,1
2017,facebook,208,1
2012,facebook,209,1
2013,facebook,226,1
2014,facebook,233,1
2016,facebook,236,1
2012,facebook,273,1
2015,facebook,278,1
2014,facebook,281,1
2014,facebook,297,1
2012,facebook,302,1
2014,facebook,305,1
2014,facebook,307,1
2015,facebook,308,1
2016,facebook,311,1
2014,facebook,338,1
2014,facebook,350,1
2014,facebook,357,1
2017,facebook,357,1
2014,facebook,383,1
2017,facebook,415,1
2015,facebook,453,1
2013,facebook,488,1
2014,facebook,558,1
2015,facebook,561,1
2013,facebook,645,1
2014,facebook,739,1
2012,facebook,808,1
2014,facebook,1478,1
2014,facebook,1792,1
2013,facebook,2626,1
2014,facebook,2638,1
2013,facebook,3195,1
2014,facebook,3532,1
2013,facebook,0,1265628
2014,facebook,1,64283
2016,facebook,1,101027
2012,facebook,2,11534
2017,facebook,2,31214
2012,facebook,3,4096
2012,facebook,4,2009
2013,facebook,7,841
2014,facebook,9,517
2012,facebook,10,226
2014,facebook,10,392
2012,facebook,11,178
2012,facebook,12,153
2017,facebook,12,414
2018,facebook,13,160
2018,facebook,14,125
2013,facebook,15,179
2016,facebook,15,220
2018,facebook,15,93
2014,facebook,18,96
2016,facebook,18,138
2012,facebook,20,48
2017,facebook,20,115
2017,facebook,21,64
2015,facebook,22,99
2013,facebook,23,48
2015,facebook,23,97
2018,facebook,23,24
2018,facebook,24,22
2016,facebook,26,61
2017,facebook,26,57
2012,facebook,27,34
2012,facebook,28,24
2015,facebook,28,52
2017,facebook,28,42
2015,facebook,29,52
2017,facebook,29,38
2015,facebook,30,41
2018,facebook,32,11
2014,facebook,34,28
2012,facebook,35,10
2017,facebook,35,23
2015,facebook,36,32
2012,facebook,37,15
2013,facebook,38,26
2013,facebook,40,14
2018,facebook,40,9
2013,facebook,41,11
2016,facebook,42,15
2014,facebook,43,20
2016,facebook,43,14
2012,facebook,44,12
2014,facebook,44,9
2014,facebook,45,20
2015,facebook,45,20
2017,facebook,45,14
2012,facebook,46,10
2012,facebook,47,6
2013,facebook,47,18
2018,facebook,47,1
2015,facebook,48,12
2016,facebook,48,15
2013,facebook,50,8
2014,facebook,50,12
2016,facebook,50,10
2017,facebook,51,9
2014,facebook,53,13
2015,facebook,53,9
2013,facebook,55,11
2018,facebook,55,1
2013,facebook,56,5
2015,facebook,56,8
2018,facebook,57,2
2013,facebook,58,5
2012,facebook,61,5
2017,facebook,61,6
2012,facebook,62,3
2017,facebook,63,3
2013,facebook,64,10
2018,facebook,64,1
2015,facebook,65,5
2016,facebook,65,3
2013,facebook,66,5
2018,facebook,66,1
2016,facebook,67,3
2014,facebook,68,1
